
/* Mandatory labels, unified from 2015.1
/* 86;1,$;Concept;typeConcept;mandatory label;0;2011.2;
/* 89;1,4,$;Join;typeOther;mandatory label since 2013.1 build 175;0;;
/* 134;1,$;Numeric;typeConcept;mandatory label since 2014.2 build 241;0;;
/* 87;1,$;Punctuation;typeEndConcept;mandatory label;0;2011.2;
/* 85;1,$;Relation;typeRelation;mandatory label;0;2011.2;
/* 82;1,4,$;SBegin;typeOther;mandatory label, beginning of sentence;0;2011.2;
/* 83;1,4,$;SEnd;typeOther;mandatory label, end of sentence;0;2011.2;
/* 88;1,$;Unknown;typeOther;mandatory label;0;2011.2;

/* Mandatory attributes, unified from 2015.1
/* 90;1,$;CapitalInitial;typeAttribute;mandatory label;0;2013.1;
/* 91;1,$;CapitalMixed;typeAttribute;mandatory label;0;2013.1;
/* 92;1,$;CapitalAll;typeAttribute;mandatory label;0;2013.1;
/* 119;1,$;NonSemantic;typeAttribute;garbage;0;2013.1;Entity(NonSemantic)

/* Required labels
103;1,$;Subject;typeAttribute;;0;2013.1;
104;1,$;Object;typeAttribute;;0;2013.1;
105;1,$;PrimaryRelation;typeAttribute;;0;2013.1;

/* NL Equivalents of mandatory labels
135;40,50,60,63,65,70,80,$;NLPunctuation;typeEndConcept;copy of mandatory label 19-05-2014-sde;0;added phase 60 #34-nl, added phase 63 and 50 #36-sde;
172;40;NLUDConcept;typeConcept;copy of mandatory label 2016-03-25-sde;0;;
173;40;NLUDRelation;typeRelation;copy of mandatory label 2016-03-30-sde;0;;

/* NL Equivalents of mandatory attributes
136;40,65,$;NLCapitalAll;typeAttribute;copy of mandatory label;0;19-05-2014-sde;
137;1,40,65,$;NLCapitalInitial;typeAttribute;copy of mandatory label;0;19-05-2014-sde, added phase 1 to avoid conflicts on user dictionary entries 16-04-2015-sde;
138;40,65,$;NLCapitalMixed;typeAttribute;copy of mandatory label;0;19-05-2014-sde;


/* Default label
1;1,30,40,50,60,63,65,70,80,85,$;NLCon;typeConcept;concept;1;NL basisversie,added phase 60 #34-nl, added phase 63 #36-sde, added phase 85 #37-sde;

/* Group Labels
/*84;4,$;NonRelevant;typeOther;voor CRC-detectie met testframework;0;na 2.3; not needed anymore 19-05-2014-sde
3;1,40,50,60,63,65,70,80,$;NLAdj;typeConcept;unflected present participles and adjectives;0;NL basisversie, renamed from Mod 03-11-2015-sde,added phase 60 #34-nl, added phase 63 #36-sde;
182;1,70;NLAntecedent;typeOther;extra label to limit expansion for antecedents;0;#34-nl;
/*16;4,$;NLAdv;typeOther;adverb;0;NL basisversie;replaced by other labels for adverbs 07-10-2013-nl
115;1,30,40,65,$;NLAdvDegree;typeOther;adverb;0;for 2013.2-sde,added phase 30 #34-nl;
114;1,40,65,$;NLAdvDirection;typeRelation;adverb;0;for 2013.2-sde;
131;1,40,65,$;NLAdvManner;typeRelation;adverbs of manner;0;11-09-2013-nl, renamed from AdvMan 03-11-2015-sde;
/*18;4,$;NLAdvMod;typeOther;adverb or modifier;0;NL basisversie;replaced by NLMod 11-10-2013-nl
117;1,40,63,65,70,$;NLAdvModality;typeRelation;adverb;0;for 2013.2-sde, added phase 63 #38-sde;
124;1,40,65,$;NLAdvTempCon;typeOther;adverbs of time or concepts;0;29-07-2013-nl,AdvTimeCon->AdvTempCon #35-nl;
165;1,40;NLAdvTempConj;typeAmbiguous;extra label for nu, telkens;0;18-11-2015-sde;
156;1,40,50,65,$;NLAdvPlace;typePathRelevant;adverbs of place;0;13-11-2015-sde, changed type from Other 17-12-2015-sde;
149;1,40,65,70,$;NLAdvRestriction;typeOther;alleen, enkel;0;05-11-2015-sde,added phase 70 #34-nl;
132;1,40,50,60,63,65,70,80,$;NLAdvStruct;typeAmbiguous;structural words;0;13-09-2013-nl,added phase 60 #34-nl, added phase 63 #36-sde;
157;1,40,50,65,70,80,$;NLAdvTemp;typePathRelevant;adverbs of time, vague time expressions;0;13-11-2015-sde, changed type from Ambiguous 17-11-2015-sde,added phase 70 #34-nl, added phase 80 #36-sde;
110;1,30,40,65,70,$;NLAdvTime;typeBeginEndConcept;adverbs of time, specific time expressions;0;for 2013.2-sde, changed type from Ambiguous 13-11-2015-sde,added phase 70 #35-nl;
122;1,30,40,50,60,63,65,70,80,$;NLArt;typeOther;articles;0;17-07-2013-nl,added phase 30,60,70 and 80 #34-nl, added phase 63 #36-sde;
77;1,40,50,60,63,65,70,80,$;NLAttradj;typeConcept;attributief adjectief;0;NL basisversie, renamed from Attrmod 03-11-2015-sde,added phase 70 and 60 #34-nl, added phase 63 and 80 #36-sde;
/*155;1,40,50,65,$;NLAttrpron;typeOther;attributive pronoun, used in combination with other labels;0;13-11-2015-sde; -> deleted #34-nl, replaced by PathRelevant
150;1,40,65,70,$;NLAux;typeRelation;forms of "zijn" and "hebben" that are used for perfect tenses;0;new Aux label 05-11-2015-sde,added phase 70 #34-nl;
6;1,40,65,$;NLAuxCon;typeAmbiguous;auxiliary verb or concept;0;NL basisversie;
80;1,40,50,60,65,70,80,$;NLBegin;typeBeginConcept;No Description;0;na 2.2,added phase 60 #34-nl;
111;1,40,50,65,$;NLBeginEnd;typeBeginEndConcept;;0;for 2013.2-sde;
152;1,50,70,80,$;NLBeginpron;typeBeginConcept;pronoun that starts a Concept;0;05-11-2015-sde;
191;70,80,$;NLBeginrel;typeBeginRelation;used to manage attribute expansion;0;#34-nl,added phase 80 #35-nl;
